Treatment,Bean_Type,Hapla_strain,Total egg count
NS_VW9,NS,VW9,1320
NS_VW9,NS,VW9,1400
NS_VW9,NS,VW9,0
NS_VW9,NS,VW9,0
NS_VW9,NS,VW9,726
NS_VW9,NS,VW9,0
NS_Lmx,NS,Lmx,1999
NS_Lmx,NS,Lmx,5280
NS_Lmx,NS,Lmx,4160
NS_Lmx,NS,Lmx,10933
NS_Lmx,NS,Lmx,12000
NS_Lmx,NS,Lmx,8250
BV_VW9,BV,VW9,8250
BV_VW9,BV,VW9,18000
BV_VW9,BV,VW9,14560
BV_VW9,BV,VW9,13200
BV_VW9,BV,VW9,9166
BV_VW9,BV,VW9,15210
BV_Lmx,BV,Lmx,5600
BV_Lmx,BV,Lmx,10560
BV_Lmx,BV,Lmx,13680
BV_Lmx,BV,Lmx,22680
BV_Lmx,BV,Lmx,10500
BV_Lmx,BV,Lmx,28000
